date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Next_Day_AQI,temperature_2m,relative_humidity_2m,wind_speed_10m
2019-01-01,194,106.7,209.52,161.02,221.16,2.04,184.3,153.0,21.99949998,55.76591921,8.920918496
2019-02-01,153,84.15,165.24,126.99,174.42,1.61,145.35,90.0,22.42658333,53.34218242,10.60319866
2019-04-01,90,49.5,97.2,74.7,102.6,0.95,85.5,88.0,21.76616667,60.33061692,9.091025129
2019-05-01,88,48.4,95.04,73.04,100.32,0.92,83.6,79.0,22.38699998,63.72121783,9.215504967
2019-06-01,79,43.45,85.32,65.57,90.06,0.83,75.05,42.0,21.98908333,64.06788521,10.66097972
2019-07-01,42,23.1,45.36,34.86,47.88,0.44,39.9,46.0,22.98283333,55.44711683,14.41448976
2019-08-01,46,25.3,49.68,38.18,52.44,0.48,43.7,43.0,22.84116667,48.46479333,11.47557224
2019-09-01,43,23.65,46.44,35.69,49.02,0.45,40.85,37.0,22.04741667,54.08841596,10.41097033
2019-10-01,37,20.35,39.96,30.71,42.18,0.39,35.15,65.0,21.10158329,63.81475083,10.03589061
2019-11-01,65,35.75,70.2,53.95,74.1,0.68,61.75,211.0,21.94741665,60.590958,8.458821308
2019-12-01,211,116.05,227.88,175.13,240.54,2.22,200.45,206.0,21.88699998,67.11561763,9.9194547
2019-01-13,206,113.3,222.48,170.98,234.84,2.16,195.7,163.0,21.03908333,70.26237771,11.31365605
2019-01-14,163,89.65,176.04,135.29,185.82,1.71,154.85,163.0,22.19533333,56.76488946,12.18431529
2019-01-15,163,89.65,176.04,135.29,185.82,1.71,154.85,163.0,23.42866667,52.11035913,11.50405178
2019-01-16,163,89.65,176.04,135.29,185.82,1.71,154.85,193.0,24.02866667,55.51894517,10.43397823
2019-01-17,193,106.15,208.44,160.19,220.02,2.03,183.35,207.0,23.387,65.48451242,8.596420833
2019-01-18,207,113.85,223.56,171.81,235.98,2.17,196.65,202.0,23.05366667,63.35924525,10.98251114
2019-01-19,202,111.1,218.16,167.66,230.28,2.12,191.9,251.0,22.87658333,64.84859221,8.915275104
2019-01-20,251,138.05,271.08,208.33,286.14,2.64,238.45,137.0,23.77033333,69.81995996,7.091438783
2019-01-21,137,75.35,147.96,113.71,156.18,1.44,130.15,108.0,24.04325,70.45097425,7.7432518
2019-01-22,108,59.4,116.64,89.64,123.12,1.13,102.6,93.0,23.1495,78.54351183,9.354059979
2019-01-23,93,51.15,100.44,77.19,106.02,0.98,88.35,134.0,22.58908333,81.42831567,7.013004863
2019-01-24,134,73.7,144.72,111.22,152.76,1.41,127.3,123.0,21.60575,71.27971942,12.64637629
2019-01-25,123,67.65,132.84,102.09,140.22,1.29,116.85,115.0,21.74533333,57.88060579,14.84107648
2019-01-26,115,63.25,124.2,95.45,131.1,1.21,109.25,110.0,21.29116667,45.50648421,19.0065775
2019-01-27,110,60.5,118.8,91.3,125.4,1.16,104.5,110.0,21.75575,48.9552725,18.27856444
2019-01-28,110,60.5,118.8,91.3,125.4,1.16,104.5,118.0,22.987,45.92984167,18.05207548
2019-01-29,118,64.9,127.44,97.94,134.52,1.24,112.1,156.0,22.77241667,40.38579379,16.17362075
2019-01-30,156,85.8,168.48,129.48,177.84,1.64,148.2,153.0,22.25991667,43.56978125,12.11109399
2019-01-31,153,84.15,165.24,126.99,174.42,1.61,145.35,180.0,22.17866667,58.37593829,9.578268342
2019-01-02,180,99.0,194.4,149.4,205.2,1.89,171.0,158.0,22.00575,64.21977288,9.871503554
2019-02-02,158,86.9,170.64,131.14,180.12,1.66,150.1,207.0,22.43075,62.01149083,9.817477338
2019-03-02,207,113.85,223.56,171.81,235.98,2.17,196.65,109.0,22.02033333,63.30242988,10.24189214
2019-05-02,109,59.95,117.72,90.47,124.26,1.14,103.55,79.0,22.87658333,67.62123867,8.758333758
2019-06-02,79,43.45,85.32,65.57,90.06,0.83,75.05,46.0,24.23075,67.84346679,8.73628335
2019-07-02,46,25.3,49.68,38.18,52.44,0.48,43.7,44.0,23.71616667,77.11295413,9.697130096
2019-08-02,44,24.2,47.52,36.52,50.16,0.46,41.8,54.0,22.92658333,74.45442229,10.51281075
2019-09-02,54,29.7,58.32,44.82,61.56,0.57,51.3,60.0,21.23491667,70.21489038,11.95751965
2019-10-02,60,33.0,64.8,49.8,68.4,0.63,57.0,43.0,19.45991667,58.18569671,14.31974313
2019-11-02,43,23.65,46.44,35.69,49.02,0.45,40.85,151.0,20.31408331,43.717408,12.42728672
2019-12-02,151,83.05,163.08,125.33,172.14,1.59,143.45,175.0,21.69533331,47.71528804,8.13928775
2019-02-13,175,96.25,189.0,145.25,199.5,1.84,166.25,97.0,23.3995,54.25562521,9.401736604
2019-02-14,97,53.35,104.76,80.51,110.58,1.02,92.15,108.0,26.30783346,47.15558537,8.162548979
2019-02-15,108,59.4,116.64,89.64,123.12,1.13,102.6,124.0,24.76408333,63.36200429,13.34346777
2019-02-16,124,68.2,133.92,102.92,141.36,1.3,117.8,173.0,24.25783333,63.46841004,13.51615933
2019-02-17,173,95.15,186.84,143.59,197.22,1.82,164.35,133.0,22.49741667,72.29440092,12.26613439
2019-02-18,133,73.15,143.64,110.39,151.62,1.4,126.35,166.0,22.05366667,65.56362883,10.7277219
2019-02-19,166,91.3,179.28,137.78,189.24,1.74,157.7,156.0,21.90158333,68.91393842,8.959150608
2019-02-20,156,85.8,168.48,129.48,177.84,1.64,148.2,90.0,22.837,67.73830771,10.47436942
2019-02-21,90,49.5,97.2,74.7,102.6,0.95,85.5,83.0,23.49116667,65.85922829,11.5194967
2019-02-22,83,45.65,89.64,68.89,94.62,0.87,78.85,173.0,24.03283333,79.57531946,7.267849746
2019-02-23,173,95.15,186.84,143.59,197.22,1.82,164.35,124.0,24.15158333,80.04660671,11.52073686
2019-02-24,124,68.2,133.92,102.92,141.36,1.3,117.8,103.0,25.51408333,65.47625733,13.12066452
2019-02-25,103,56.65,111.24,85.49,117.42,1.08,97.85,115.0,26.19533358,62.37087213,11.48053567
2019-02-26,115,63.25,124.2,95.45,131.1,1.21,109.25,104.0,25.28491667,57.53880488,13.83017907
2019-02-27,104,57.2,112.32,86.32,118.56,1.09,98.8,267.0,24.44741667,66.92213346,12.76927995
2019-01-03,267,146.85,288.36,221.61,304.38,2.8,253.65,204.0,24.33908333,71.98450275,11.85639463
2019-02-03,204,112.2,220.32,169.32,232.56,2.14,193.8,84.0,23.08491667,78.27705725,9.377053079
2019-03-03,84,46.2,90.72,69.72,95.76,0.88,79.8,99.0,23.82866667,59.43707588,12.06862873
2019-04-03,99,54.45,106.92,82.17,112.86,1.04,94.05,90.0,23.67241667,63.03413392,8.439020613
2019-05-03,90,49.5,97.2,74.7,102.6,0.95,85.5,78.0,24.35991667,78.40941408,7.853049613
2019-06-03,78,42.9,84.24,64.74,88.92,0.82,74.1,41.0,23.95158333,82.61277413,8.028996971
2019-07-03,41,22.55,44.28,34.03,46.74,0.43,38.95,37.0,23.79325,83.31944979,9.643004917
2019-08-03,37,20.35,39.96,30.71,42.18,0.39,35.15,39.0,23.87241667,77.71223483,8.490060758
