date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Next_Day_AQI
2019-01-01,194,106.7,209.52,161.02,221.16,2.04,184.3,153.0
2019-02-01,153,84.15,165.24,126.99,174.42,1.61,145.35,90.0
2019-04-01,90,49.5,97.2,74.7,102.6,0.95,85.5,88.0
2019-05-01,88,48.4,95.04,73.04,100.32,0.92,83.6,79.0
2019-06-01,79,43.45,85.32,65.57,90.06,0.83,75.05,42.0
2019-07-01,42,23.1,45.36,34.86,47.88,0.44,39.9,46.0
2019-08-01,46,25.3,49.68,38.18,52.44,0.48,43.7,43.0
2019-09-01,43,23.65,46.44,35.69,49.02,0.45,40.85,37.0
2019-10-01,37,20.35,39.96,30.71,42.18,0.39,35.15,65.0
2019-11-01,65,35.75,70.2,53.95,74.1,0.68,61.75,211.0
2019-12-01,211,116.05,227.88,175.13,240.54,2.22,200.45,206.0
2019-01-13,206,113.3,222.48,170.98,234.84,2.16,195.7,163.0
2019-01-14,163,89.65,176.04,135.29,185.82,1.71,154.85,163.0
2019-01-15,163,89.65,176.04,135.29,185.82,1.71,154.85,163.0
2019-01-16,163,89.65,176.04,135.29,185.82,1.71,154.85,193.0
2019-01-17,193,106.15,208.44,160.19,220.02,2.03,183.35,207.0
2019-01-18,207,113.85,223.56,171.81,235.98,2.17,196.65,202.0
2019-01-19,202,111.1,218.16,167.66,230.28,2.12,191.9,251.0
2019-01-20,251,138.05,271.08,208.33,286.14,2.64,238.45,137.0
2019-01-21,137,75.35,147.96,113.71,156.18,1.44,130.15,108.0
2019-01-22,108,59.4,116.64,89.64,123.12,1.13,102.6,93.0
2019-01-23,93,51.15,100.44,77.19,106.02,0.98,88.35,134.0
2019-01-24,134,73.7,144.72,111.22,152.76,1.41,127.3,123.0
2019-01-25,123,67.65,132.84,102.09,140.22,1.29,116.85,115.0
2019-01-26,115,63.25,124.2,95.45,131.1,1.21,109.25,110.0
2019-01-27,110,60.5,118.8,91.3,125.4,1.16,104.5,110.0
2019-01-28,110,60.5,118.8,91.3,125.4,1.16,104.5,118.0
2019-01-29,118,64.9,127.44,97.94,134.52,1.24,112.1,156.0
2019-01-30,156,85.8,168.48,129.48,177.84,1.64,148.2,153.0
2019-01-31,153,84.15,165.24,126.99,174.42,1.61,145.35,180.0
2019-01-02,180,99.0,194.4,149.4,205.2,1.89,171.0,158.0
2019-02-02,158,86.9,170.64,131.14,180.12,1.66,150.1,207.0
2019-03-02,207,113.85,223.56,171.81,235.98,2.17,196.65,109.0
2019-05-02,109,59.95,117.72,90.47,124.26,1.14,103.55,79.0
2019-06-02,79,43.45,85.32,65.57,90.06,0.83,75.05,46.0
2019-07-02,46,25.3,49.68,38.18,52.44,0.48,43.7,44.0
2019-08-02,44,24.2,47.52,36.52,50.16,0.46,41.8,54.0
2019-09-02,54,29.7,58.32,44.82,61.56,0.57,51.3,60.0
2019-10-02,60,33.0,64.8,49.8,68.4,0.63,57.0,43.0
2019-11-02,43,23.65,46.44,35.69,49.02,0.45,40.85,151.0
2019-12-02,151,83.05,163.08,125.33,172.14,1.59,143.45,175.0
2019-02-13,175,96.25,189.0,145.25,199.5,1.84,166.25,97.0
2019-02-14,97,53.35,104.76,80.51,110.58,1.02,92.15,108.0
2019-02-15,108,59.4,116.64,89.64,123.12,1.13,102.6,124.0
2019-02-16,124,68.2,133.92,102.92,141.36,1.3,117.8,173.0
2019-02-17,173,95.15,186.84,143.59,197.22,1.82,164.35,133.0
2019-02-18,133,73.15,143.64,110.39,151.62,1.4,126.35,166.0
2019-02-19,166,91.3,179.28,137.78,189.24,1.74,157.7,156.0
2019-02-20,156,85.8,168.48,129.48,177.84,1.64,148.2,90.0
2019-02-21,90,49.5,97.2,74.7,102.6,0.95,85.5,83.0
2019-02-22,83,45.65,89.64,68.89,94.62,0.87,78.85,173.0
2019-02-23,173,95.15,186.84,143.59,197.22,1.82,164.35,124.0
2019-02-24,124,68.2,133.92,102.92,141.36,1.3,117.8,103.0
2019-02-25,103,56.65,111.24,85.49,117.42,1.08,97.85,115.0
2019-02-26,115,63.25,124.2,95.45,131.1,1.21,109.25,104.0
2019-02-27,104,57.2,112.32,86.32,118.56,1.09,98.8,267.0
2019-01-03,267,146.85,288.36,221.61,304.38,2.8,253.65,204.0
2019-02-03,204,112.2,220.32,169.32,232.56,2.14,193.8,84.0
2019-03-03,84,46.2,90.72,69.72,95.76,0.88,79.8,99.0
2019-04-03,99,54.45,106.92,82.17,112.86,1.04,94.05,90.0
2019-05-03,90,49.5,97.2,74.7,102.6,0.95,85.5,78.0
2019-06-03,78,42.9,84.24,64.74,88.92,0.82,74.1,41.0
2019-07-03,41,22.55,44.28,34.03,46.74,0.43,38.95,37.0
2019-08-03,37,20.35,39.96,30.71,42.18,0.39,35.15,39.0
2019-09-03,39,21.45,42.12,32.37,44.46,0.41,37.05,55.0
2019-10-03,55,30.25,59.4,45.65,62.7,0.58,52.25,69.0
2019-11-03,69,37.95,74.52,57.27,78.66,0.72,65.55,104.0
2019-12-03,104,57.2,112.32,86.32,118.56,1.09,98.8,151.0
2019-03-13,151,83.05,163.08,125.33,172.14,1.59,143.45,95.0
2019-03-14,95,52.25,102.6,78.85,108.3,1.0,90.25,162.0
2019-03-15,162,89.1,174.96,134.46,184.68,1.7,153.9,174.0
2019-03-16,174,95.7,187.92,144.42,198.36,1.83,165.3,126.0
2019-03-17,126,69.3,136.08,104.58,143.64,1.32,119.7,125.0
2019-03-18,125,68.75,135.0,103.75,142.5,1.31,118.75,137.0
2019-03-19,137,75.35,147.96,113.71,156.18,1.44,130.15,89.0
2019-03-20,89,48.95,96.12,73.87,101.46,0.93,84.55,82.0
2019-03-21,82,45.1,88.56,68.06,93.48,0.86,77.9,74.0
2019-03-22,74,40.7,79.92,61.42,84.36,0.78,70.3,87.0
2019-03-23,87,47.85,93.96,72.21,99.18,0.91,82.65,168.0
2019-03-24,168,92.4,181.44,139.44,191.52,1.76,159.6,165.0
2019-03-25,165,90.75,178.2,136.95,188.1,1.73,156.75,138.0
2019-03-26,138,75.9,149.04,114.54,157.32,1.45,131.1,122.0
2019-03-27,122,67.1,131.76,101.26,139.08,1.28,115.9,105.0
2019-03-28,105,57.75,113.4,87.15,119.7,1.1,99.75,91.0
2019-03-29,91,50.05,98.28,75.53,103.74,0.96,86.45,99.0
2019-03-30,99,54.45,106.92,82.17,112.86,1.04,94.05,80.0
2019-03-31,80,44.0,86.4,66.4,91.2,0.84,76.0,223.0
2019-01-04,223,122.65,240.84,185.09,254.22,2.34,211.85,197.0
2019-02-04,197,108.35,212.76,163.51,224.58,2.07,187.15,83.0
2019-03-04,83,45.65,89.64,68.89,94.62,0.87,78.85,88.0
2019-04-04,88,48.4,95.04,73.04,100.32,0.92,83.6,89.0
2019-05-04,89,48.95,96.12,73.87,101.46,0.93,84.55,58.0
2019-06-04,58,31.9,62.64,48.14,66.12,0.61,55.1,46.0
2019-07-04,46,25.3,49.68,38.18,52.44,0.48,43.7,41.0
2019-08-04,41,22.55,44.28,34.03,46.74,0.43,38.95,36.0
2019-09-04,36,19.8,38.88,29.88,41.04,0.38,34.2,62.0
2019-10-04,62,34.1,66.96,51.46,70.68,0.65,58.9,71.0
2019-11-04,71,39.05,76.68,58.93,80.94,0.75,67.45,92.0
2019-12-04,92,50.6,99.36,76.36,104.88,0.97,87.4,100.0
2019-04-13,100,55.0,108.0,83.0,114.0,1.05,95.0,95.0
2019-04-14,95,52.25,102.6,78.85,108.3,1.0,90.25,92.0
2019-04-15,92,50.6,99.36,76.36,104.88,0.97,87.4,95.0
2019-04-16,95,52.25,102.6,78.85,108.3,1.0,90.25,85.0
2019-04-17,85,46.75,91.8,70.55,96.9,0.89,80.75,94.0
2019-04-18,94,51.7,101.52,78.02,107.16,0.99,89.3,94.0
2019-04-19,94,51.7,101.52,78.02,107.16,0.99,89.3,97.0
2019-04-20,97,53.35,104.76,80.51,110.58,1.02,92.15,95.0
2019-04-21,95,52.25,102.6,78.85,108.3,1.0,90.25,97.0
2019-04-22,97,53.35,104.76,80.51,110.58,1.02,92.15,98.0
2019-04-23,98,53.9,105.84,81.34,111.72,1.03,93.1,90.0
2019-04-24,90,49.5,97.2,74.7,102.6,0.95,85.5,88.0
2019-04-25,88,48.4,95.04,73.04,100.32,0.92,83.6,92.0
2019-04-26,92,50.6,99.36,76.36,104.88,0.97,87.4,96.0
2019-04-27,96,52.8,103.68,79.68,109.44,1.01,91.2,99.0
2019-04-28,99,54.45,106.92,82.17,112.86,1.04,94.05,93.0
2019-04-29,93,51.15,100.44,77.19,106.02,0.98,88.35,93.0
2019-04-30,93,51.15,100.44,77.19,106.02,0.98,88.35,178.0
2019-01-05,178,97.9,192.24,147.74,202.92,1.87,169.1,159.0
2019-02-05,159,87.45,171.72,131.97,181.26,1.67,151.05,113.0
2019-03-05,113,62.15,122.04,93.79,128.82,1.19,107.35,91.0
2019-04-05,91,50.05,98.28,75.53,103.74,0.96,86.45,88.0
2019-05-05,88,48.4,95.04,73.04,100.32,0.92,83.6,59.0
2019-06-05,59,32.45,63.72,48.97,67.26,0.62,56.05,55.0
2019-07-05,55,30.25,59.4,45.65,62.7,0.58,52.25,44.0
2019-08-05,44,24.2,47.52,36.52,50.16,0.46,41.8,36.0
2019-09-05,36,19.8,38.88,29.88,41.04,0.38,34.2,82.0
2019-10-05,82,45.1,88.56,68.06,93.48,0.86,77.9,71.0
2019-11-05,71,39.05,76.68,58.93,80.94,0.75,67.45,112.0
2019-12-05,112,61.6,120.96,92.96,127.68,1.18,106.4,90.0
2019-05-13,90,49.5,97.2,74.7,102.6,0.95,85.5,91.0
2019-05-14,91,50.05,98.28,75.53,103.74,0.96,86.45,82.0
2019-05-15,82,45.1,88.56,68.06,93.48,0.86,77.9,77.0
2019-05-16,77,42.35,83.16,63.91,87.78,0.81,73.15,78.0
2019-05-17,78,42.9,84.24,64.74,88.92,0.82,74.1,80.0
2019-05-18,80,44.0,86.4,66.4,91.2,0.84,76.0,79.0
2019-05-19,79,43.45,85.32,65.57,90.06,0.83,75.05,83.0
2019-05-20,83,45.65,89.64,68.89,94.62,0.87,78.85,90.0
2019-05-21,90,49.5,97.2,74.7,102.6,0.95,85.5,87.0
2019-05-22,87,47.85,93.96,72.21,99.18,0.91,82.65,90.0
2019-05-23,90,49.5,97.2,74.7,102.6,0.95,85.5,89.0
2019-05-24,89,48.95,96.12,73.87,101.46,0.93,84.55,71.0
2019-05-25,71,39.05,76.68,58.93,80.94,0.75,67.45,68.0
2019-05-26,68,37.4,73.44,56.44,77.52,0.71,64.6,86.0
2019-05-27,86,47.3,92.88,71.38,98.04,0.9,81.7,88.0
2019-05-28,88,48.4,95.04,73.04,100.32,0.92,83.6,90.0
2019-05-29,90,49.5,97.2,74.7,102.6,0.95,85.5,69.0
2019-05-30,69,37.95,74.52,57.27,78.66,0.72,65.55,71.0
2019-05-31,71,39.05,76.68,58.93,80.94,0.75,67.45,192.0
2019-01-06,192,105.6,207.36,159.36,218.88,2.02,182.4,153.0
2019-02-06,153,84.15,165.24,126.99,174.42,1.61,145.35,101.0
2019-03-06,101,55.55,109.08,83.83,115.14,1.06,95.95,91.0
2019-04-06,91,50.05,98.28,75.53,103.74,0.96,86.45,93.0
2019-05-06,93,51.15,100.44,77.19,106.02,0.98,88.35,60.0
2019-06-06,60,33.0,64.8,49.8,68.4,0.63,57.0,52.0
2019-07-06,52,28.6,56.16,43.16,59.28,0.55,49.4,51.0
2019-08-06,51,28.05,55.08,42.33,58.14,0.54,48.45,37.0
2019-09-06,37,20.35,39.96,30.71,42.18,0.39,35.15,102.0
2019-10-06,102,56.1,110.16,84.66,116.28,1.07,96.9,109.0
2019-11-06,109,59.95,117.72,90.47,124.26,1.14,103.55,199.0
2019-12-06,199,109.45,214.92,165.17,226.86,2.09,189.05,52.0
2019-06-13,52,28.6,56.16,43.16,59.28,0.55,49.4,70.0
2019-06-14,70,38.5,75.6,58.1,79.8,0.74,66.5,51.0
2019-06-15,51,28.05,55.08,42.33,58.14,0.54,48.45,56.0
2019-06-16,56,30.8,60.48,46.48,63.84,0.59,53.2,59.0
2019-06-17,59,32.45,63.72,48.97,67.26,0.62,56.05,65.0
2019-06-18,65,35.75,70.2,53.95,74.1,0.68,61.75,51.0
2019-06-19,51,28.05,55.08,42.33,58.14,0.54,48.45,84.0
2019-06-20,84,46.2,90.72,69.72,95.76,0.88,79.8,79.0
2019-06-21,79,43.45,85.32,65.57,90.06,0.83,75.05,88.0
2019-06-22,88,48.4,95.04,73.04,100.32,0.92,83.6,88.0
2019-06-23,88,48.4,95.04,73.04,100.32,0.92,83.6,90.0
2019-06-24,90,49.5,97.2,74.7,102.6,0.95,85.5,60.0
2019-06-25,60,33.0,64.8,49.8,68.4,0.63,57.0,59.0
2019-06-26,59,32.45,63.72,48.97,67.26,0.62,56.05,44.0
2019-06-27,44,24.2,47.52,36.52,50.16,0.46,41.8,42.0
2019-06-28,42,23.1,45.36,34.86,47.88,0.44,39.9,44.0
2019-06-29,44,24.2,47.52,36.52,50.16,0.46,41.8,48.0
2019-06-30,48,26.4,51.84,39.84,54.72,0.5,45.6,146.0
2019-01-07,146,80.3,157.68,121.18,166.44,1.53,138.7,90.0
2019-02-07,90,49.5,97.2,74.7,102.6,0.95,85.5,96.0
2019-03-07,96,52.8,103.68,79.68,109.44,1.01,91.2,93.0
2019-04-07,93,51.15,100.44,77.19,106.02,0.98,88.35,94.0
2019-05-07,94,51.7,101.52,78.02,107.16,0.99,89.3,70.0
2019-06-07,70,38.5,75.6,58.1,79.8,0.74,66.5,63.0
2019-07-07,63,34.65,68.04,52.29,71.82,0.66,59.85,54.0
2019-08-07,54,29.7,58.32,44.82,61.56,0.57,51.3,41.0
2019-09-07,41,22.55,44.28,34.03,46.74,0.43,38.95,91.0
2019-10-07,91,50.05,98.28,75.53,103.74,0.96,86.45,71.0
2019-11-07,71,39.05,76.68,58.93,80.94,0.75,67.45,145.0
2019-12-07,145,79.75,156.6,120.35,165.3,1.52,137.75,55.0
2019-07-13,55,30.25,59.4,45.65,62.7,0.58,52.25,50.0
2019-07-14,50,27.5,54.0,41.5,57.0,0.53,47.5,58.0
2019-07-15,58,31.9,62.64,48.14,66.12,0.61,55.1,58.0
2019-07-16,58,31.9,62.64,48.14,66.12,0.61,55.1,63.0
2019-07-17,63,34.65,68.04,52.29,71.82,0.66,59.85,67.0
2019-07-18,67,36.85,72.36,55.61,76.38,0.7,63.65,77.0
2019-07-19,77,42.35,83.16,63.91,87.78,0.81,73.15,74.0
2019-07-20,74,40.7,79.92,61.42,84.36,0.78,70.3,57.0
2019-07-21,57,31.35,61.56,47.31,64.98,0.6,54.15,44.0
2019-07-22,44,24.2,47.52,36.52,50.16,0.46,41.8,40.0
2019-07-23,40,22.0,43.2,33.2,45.6,0.42,38.0,34.0
2019-07-24,34,18.7,36.72,28.22,38.76,0.36,32.3,38.0
2019-07-25,38,20.9,41.04,31.54,43.32,0.4,36.1,46.0
2019-07-26,46,25.3,49.68,38.18,52.44,0.48,43.7,50.0
2019-07-27,50,27.5,54.0,41.5,57.0,0.53,47.5,56.0
2019-07-28,56,30.8,60.48,46.48,63.84,0.59,53.2,67.0
2019-07-29,67,36.85,72.36,55.61,76.38,0.7,63.65,44.0
2019-07-30,44,24.2,47.52,36.52,50.16,0.46,41.8,43.0
2019-07-31,43,23.65,46.44,35.69,49.02,0.45,40.85,161.0
2019-01-08,161,88.55,173.88,133.63,183.54,1.69,152.95,162.0
2019-02-08,162,89.1,174.96,134.46,184.68,1.7,153.9,102.0
2019-03-08,102,56.1,110.16,84.66,116.28,1.07,96.9,93.0
2019-04-08,93,51.15,100.44,77.19,106.02,0.98,88.35,88.0
2019-05-08,88,48.4,95.04,73.04,100.32,0.92,83.6,72.0
2019-06-08,72,39.6,77.76,59.76,82.08,0.76,68.4,51.0
2019-07-08,51,28.05,55.08,42.33,58.14,0.54,48.45,69.0
2019-08-08,69,37.95,74.52,57.27,78.66,0.72,65.55,39.0
2019-09-08,39,21.45,42.12,32.37,44.46,0.41,37.05,124.0
